_id,X,Y,ObjectID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,AffidavitID,County,CDSCode,School,Street,City,State,Zip,MailingStreet,MailingCity,MailingState,MailingZip,Telephone,Email,Email2,PublicDistrict,SiteAdministratorSalutation,SiteAdministratorFirstName,SiteAdministratorLastName,SiteAdministratorTitle,SiteAdministratorEmail,SchoolType,SchoolAccommodations,LowGrade,HighGrade,KindergartenEnrollment,Grade1Enrollment,Grade2Enrollment,Grade3Enrollment,Grade4Enrollment,Grade5Enrollment,Grade6Enrollment,Grade7Enrollment,Grade8Enrollment,Grade9Enrollment,Grade10Enrollment,Grade11Enrollment,Grade12Enrollment,UngradedElementaryEnrollmnet,UngradedSecondaryEnrollment,TotalEnrollment,DiplomaOffered,Graduates2015_16,FullTimeTeachers,PartTimeTeachers,AdministrativeStaff,OtherStaff,OffersSpecialEducationServices,TaxExempt501,TaxExempt23701,TaxExempt214,TaxExempt,ReligiousClassification,ReligiousDenomination,Director_PrincipalOfficerSaluta,Director_PrincipalOfficerFirstN,Director_PrincipalOfficerLastNa,Director_PrincipalOfficerTitle,Director_PrincipalOfficerEmail,CustodianofRecordsSalutation,CustodianofRecordsFirstName,CustodianofRecordsLastName,CustodianofRecordsEmail
11,-13611226.7999363,4561923.23686995,11,parcels,M,100,A,"1940 VIRGINIA ST, BERKELEY, CA 94709",0,Address,,1940 Virginia Street,Berkeley,CA,94709,194472,Alameda,01612590117002,Bayhill High School,1940 Virginia Street,Berkeley,CA,94709,,,,,510-984-0599,lobell@bayhillhs.org,,Berkeley Unified,Ms.,Shelley,Lobell,Executive Director,lobell@bayhillhs.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,20,18,17,13,0,0,68,Yes,16,8,0,3,5,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Dianna,Christensen,President,,Ms.,Lydia,Stacey,
12,-13577382.549997,4515324.78049128,12,parcels,M,100,A,"40054 MICHELLE ST, FREMONT, CA 94538",0,Address,,40054 Michelle Street,Fremont,CA,94538,202410,Alameda,01611766153076,Bayside Academy,40054 Michelle Street,Fremont,CA,94538,,,,,702-635-4987,rebekahinlv@yahoo.com,,Fremont Unified,Mrs.,Rebekah,McIntyre,Administrator,rebekahinlv@yahoo.com,Coeducational,Day Only,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,No,0,1,0,1,0,No,No,No,No,No,Non-religious,,Mrs.,Rebekah,McIntyre,Director,rebekahinlv@yahoo.com,Mrs.,Rebekah,McIntyre,rebekahinlv@yahoo.com
13,-13589909.0438672,4529135.39637569,13,parcels,M,100,A,"26400 GADING RD, HAYWARD, CA 94544",0,Address,,26400 Gading Road,Hayward,CA,94544,201218,Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,,,,,510-785-1313,robert.robinson@nccsda.com,,Hayward Unified,Mr.,Robert,Robinson,Principal,robert.robinson@nccsda.com,Coeducational,Day Only,K,8,6,8,3,2,4,5,2,1,2,0,0,0,0,0,0,33,No,0,2,0,0,1,No,Yes,No,No,Yes,Religious,Seventh-day Adventist,Mrs.,Coreen,Hicks,Superintendent,superintendent@nccsda.com,Mr.,Bill,Keresoma,superintendent@nccsda.com
14,-13599618.2895565,4549972.73061315,14,streets,M,100,A,"12500 CAMPUS DR, Oakland, CA, 94619",,Address,R,"12500 Campus Drive, SRH",Oakland,CA,94619,211138,Alameda,01612596134100,Baywood Learning Centers,"12500 Campus Drive, SRH",Oakland,CA,94619,"484 Lake Park Avenue, Suite 663",Oakland,CA,94610,510-214-3710,info@baywoodlearningcenter.org,,Oakland Unified,Ms.,Grace,Neufeld,Head of School,info@baywoodlearningcenter.org,Coeducational,Day Only,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,Yes,0,2,6,2,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Norma,LaRosa,Administrator,info@baywoodlearningcenter.org,Ms.,Grace,Neufeld,info@baywoodlearningcenter.org
15,-13607806.7136321,4548470.74720782,15,streets,M,100,A,"2101 LIVINGSTON ST, Oakland, CA, 94606",,Address,R,2101 Livingston Street,Oakland,CA,94606,206699,Alameda,01612596928725,Beacon School dba Beacon Day School,2101 Livingston Street,Oakland,CA,94606,,,,,510-436-4466,sabbey@beaconday.org,businessoffice@beaconday.org,Oakland Unified,Ms.,Suzanne,Abbey,Head of School,sabbey@beaconday.org,Coeducational,Day Only,K,8,5,2,5,0,5,5,8,10,10,0,0,0,0,0,0,50,No,0,8,4,2,3,No,Yes,No,No,Yes,Non-religious,,Mr.,Donnell,Thomas,Administrator,dthomas@beaconday.org,Ms.,Suzanne,Abbey,sabbey@beaconday.org
16,,,16,,U,0,A,,,,,One Hiller Drive,Oakland,CA,94618,201225,Alameda,01612596967475,Bentley School,One Hiller Drive,Oakland,CA,94618,1000 Upper Happy Valley Road,Lafayette,CA,94549,510-843-2512,akopelevich@bentleyschool.net,,Oakland Unified,Ms.,Arlene,Hogan,Head of School,afhogan@bentleyschool.net,Coeducational,Day Only,K,8,39,34,36,39,35,40,42,43,50,0,0,0,0,0,0,358,No,0,39,3,4,25,No,Yes,No,No,Yes,Non-religious,,Ms.,Carol,Swainson,Other,cswainson@bentleyschool.net,Ms.,Julie,Bryant,jbryant@bentleyschool.net
17,-13610759.9098506,4562266.44950119,17,parcels,M,100,A,"2138 CEDAR ST, BERKELEY, CA 94709",0,Address,,2138 Cedar Street,Berkeley,CA,94709,192024,Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,1442A Walnut St,Berkeley,CA,94709,510-859-7679,administrator@berkeleyrose.org,,Berkeley Unified,Ms.,Jeanne,Coyne Song,Administrator,administrator@berkeleyrose.org,Coeducational,Day Only,K,4,21,10,14,14,8,0,0,0,0,0,0,0,0,0,0,67,No,0,10,10,4.5,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Jeanne,Coyne Song,Administrator,administrator@berkeleyrose.org,Ms.,Karen,Hunt,karen@berkeleyrose.org
18,-13598206.0279348,4544635.64625097,18,parcels,M,100,A,"9500 STEARNS AVE, OAKLAND, CA 94605",0,Address,,9500 Stearns Avenue,Oakland,CA,94605,195683,Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,,,,,510-577-9100,jgrell@bishopodowd.org,cgaravaglia@bishopodowd.org,Oakland Unified,Dr.,Stephen,Phelps,President,sphelps@bishopodowd.org,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,331,290,302,293,0,0,1216,Yes,260,75,18,22,49,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Mr.,James,Childs,Principal,jchilds@bishopodowd.org,Ms.,Christine,Abdenour,cabdenour@bishopodowd.org
19,-13613946.2778781,4560776.27603617,19,streets,M,100,A,"2027 7TH ST, Berkeley, CA, 94710",,Address,R,2027 Seventh Street,Berkeley,CA,94710,211053,Alameda,01611436989784,Black Pine Circle School,2027 Seventh Street,Berkeley,CA,94710,,,,,510-845-0876,jcarlstroem@blackpinecircle.org,,Berkeley Unified,Mr.,Bill,Shea,Administrator,bshea@blackpinecircle.org,Coeducational,Day Only,K,8,20,19,21,20,23,24,58,63,64,0,0,0,0,0,0,312,No,0,18,18,9,24,No,Yes,No,No,Yes,Non-religious,,Mr.,John,Carlstroem,Head of School,jcarlstroem@blackpinecircle.org,Mr.,Bill,Shea,bshea@blackpinecircle.org
20,-13593704.5962309,4528256.29916563,20,parcels,M,100,A,"25500 INDUSTRIAL BLVD, HAYWARD, CA 94545",0,Address,,25500 Industrial Boulevard,Hayward,CA,94545,198547,Alameda,01611926143754,California Crosspoint Academy,25500 Industrial Boulevard,Hayward,CA,94545,,,,,510-995-5333,info@cchsrams.org,info@crosspointacademy.org,Hayward Unified,Mr.,Robin,Hom,Superintendent,RobinHom@cchsrams.org,Coeducational,Day Only,6,12,0,0,0,0,0,0,12,8,8,35,42,61,39,0,0,205,Yes,59,26,6,8,6,No,Yes,Yes,Yes,Yes,Religious,Independent,Mrs.,Gloria,Ong,Principal,GloriaOng@cchsrams.org,Mrs.,Christine,Hom,ChristineHom@cchsrams.org
21,,,21,,U,0,A,,,,,17200 Via Magdalen,San Lorenzo,CA,94580,193282,Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalen,San Lorenzo,CA,94580,,,,,510-278-2598,schoolsecretary@calvaryslz.org,,San Lorenzo Unified,Dr.,Michael,Chivalette,Superintendent,Drc@calvaryslz.org,Coeducational,Day Only,K,8,13,10,15,7,8,10,7,9,4,0,0,0,0,0,0,83,No,0,7,3,1,4,No,Yes,No,No,Yes,Religious,Lutheran,Rev.,Kelly,Smith,Other,pastor@calvaryslz.org,Mrs.,Nancy,Schibler,schoolsecretary@calvaryslz.org
22,-13551368.0605264,4538487.91951794,22,parcels,M,100,A,"1135 BLUEBELL DR, LIVERMORE, CA 94551",0,Address,,1135 Bluebell Drive,Livermore,CA,94551,196648,Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,,,,,925-455-4250,celebrationacademyrecords1@gmail.com,,Livermore Valley Joint Unified,Mr.,Larry,Ihrig,Principal,skuchta@celebrationcc.org,Coeducational,Day Only,1,12,0,10,4,3,3,6,1,11,5,2,7,1,7,0,0,60,Yes,5,34,0,1,5,No,No,No,No,No,Religious,Not affiliate with any denomination,Mrs.,Cindi,Mackanic,Director,,Mrs.,Kim,Nixon,celebrationacademyrecords1@gmail.com
23,-13580799.9459317,4512135.94390538,23,streets,M,100,A,"39600 CEDAR BLVD, Newark, CA, 94560",,Address,R,39600 Cedar Boulevard,Newark,CA,94560,196449,Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,,,,,510-770-1771,janderson@challengerschool.com,,Newark Unified,Mrs.,Avni,Shah,Headmaster,ashah@challengerschool.com,Coeducational,Day Only,K,K,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,No,0,3,2,3,1,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Mrs.,Avni,Shah,
24,-13586968.8592274,4515705.30037712,24,parcels,T,100,A,"35487 DUMBARTON CT, NEWARK, CA 94560",0,Address,,35487 Dumbarton Court,Newark,CA,94560,196362,Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,,,,,510-739-0300,janderson@challengerschool.com,,Newark Unified,Mrs.,Daisy,Salazar,Headmaster,dsalazar@challengerschool.com,Coeducational,Day Only,K,8,96,122,110,93,83,71,58,56,47,0,0,0,0,0,0,736,No,0,35,2,4,30,No,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Dave,Mounteer,Executive Director,,Mrs.,Daisy,Salazar,
25,-13607693.8226441,4541103.55039011,25,streets,M,100,A,"1801 N LOOP RD, Alameda, CA, 94502",,Address,R,1801 North Loop Road,Alameda,CA,94502,193065,Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,,,,,510-522-0200,office@ccs-rams.org,EdwardYue@ccs-rams.org,Alameda Unified,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Coeducational,Day Only,K,8,30,45,36,44,38,28,33,34,27,0,0,0,0,0,0,315,No,0,23,2,3,31,Yes,Yes,No,No,Yes,Religious,Independent,Mr.,Edward,Yue,Principal,EdwardYue@ccs-rams.org,Mrs.,Cindy,Loh,CindyLoh@ccs-rams.org
26,-13603094.1360162,4549897.78773415,26,streets,M,100,A,"3535 38TH AVE, Oakland, CA, 94619",,Address,L,3535 38th Avenue,Oakland,CA,94619,206366,Alameda,01612596140735,Cornerstone Christian Academy,3535 38th Avenue,Oakland,CA,94619,,,,,510-530-9166,cca3535@aol.com,,Oakland Unified,Ms.,Tammy,Bratcher,Principal,cca3535@aol.com,Coeducational,Day Only,K,8,2,4,2,6,0,0,1,0,0,0,0,0,0,0,0,15,No,0,2,0,1,1,No,Yes,No,No,Yes,Religious,Baptist,Ms.,Tammy,Bratcher,Administrator,cca3535@aol.com,Ms.,Tammy,Bratcher,cca3535@aol.com
27,,,27,,U,0,A,,,,,One Estates Drive,Piedmont,CA,94611,193603,Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,,,,,510-530-4056,kmurphy@csdo.org,,Piedmont City Unified,Ms.,Kathleen,Murphy,Principal,kmurphy@csdo.org,Coeducational,Day Only,K,8,28,29,26,30,33,32,33,29,30,0,0,0,0,0,0,270,No,0,13,6,2,17,No,Yes,Yes,Yes,Yes,Religious,Roman Catholic,Fr.,Larry,Young,Superintendent,lyoung@csdo.org,Miss,Kelsey,Christie,kchristie@csdo.org
28,-13608742.1249681,4546932.49568361,28,parcels,M,100,A,"2050 LINCOLN AVE, ALAMEDA, CA 94501",0,Address,,2050 Lincoln Avenue,Alameda,CA,94501,201764,Alameda,01611196147607,Da Vinci Center for Gifted Children,2050 Lincoln Avenue,Alameda,CA,94501,,,,,510-219-9410,ourgiftedchildren@yahoo.com,,Alameda Unified,Ms.,Catherine,Cook,Head of School,ourgiftedchildren@yahoo.com,Coeducational,Day Only,K,8,1,4,4,1,5,0,5,2,3,0,0,0,0,0,0,25,No,0,4,3,1,1,Yes,No,No,No,No,Non-religious,,Ms.,Catherine,Cook,Head of School,ourgiftedchildren@yahoo.com,Ms.,Catherine,Cook,ourgiftedchildren@yahoo.com
29,-13599375.615293,4546109.88430978,29,parcels,M,100,A,"8032 MACARTHUR BLVD, OAKLAND, CA 94605",0,Address,,8032 MacArthur Blvd,Oakland,CA,94605,213208,Alameda,01612596149835,DeeColonize Acadmeny,8032 MacArthur Blvd,Oakland,CA,94605,,,,,510-435-7500,poormag@gmail.com,,Oakland Unified,Mr.,Muteado,Silencio,Administrator,muteado24@yahoo.com,Coeducational,Day Only,K,8,0,0,0,2,1,0,2,2,2,0,0,0,0,0,0,9,No,0,3,10,2,2,No,Yes,No,No,Yes,Non-religious,,Ms.,Lisa,Gray-Garcia,Principal,deeandtiny@gmail.com,Ms.,Marlee,Blasenheim,marlee.blasenheim@gmail.com
30,-13602157.7368311,4545632.23373166,30,streets,M,100,A,"6925 INTERNATIONAL BLVD, Oakland, CA, 94621",,Address,L,"6925 International Boulevard, Oakland, CA  94621",Oakland,CA,94621,213234,Alameda,01612597095292,Dr. Herbert Guice Christian Academy,"6925 International Boulevard, Oakland, CA  94621",Oakland,CA,94621,,,,,510-729-0330,aangeloguiceacademy@gmail.com,,Oakland Unified,Ms.,Adria,Angelo,Executive Director,aangeloguiceacademy@gmail.com,Coeducational,Day Only,K,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,No,0,1,3,1,3,No,Yes,No,No,Yes,Religious,Baptist,Ms.,Adria,Angelo,Director,aangeloguiceacademy@gmail.com,Ms.,Adria,Angelo,aangeloguiceacademy@gmail.com
31,-13587691.27441,4522140.74564608,31,parcels,M,98.89,A,"31367 SANTA FE WAY, UNION CITY, CA 94587",0,Address,,31367 SantaFe Way,Union City,CA,94587,206793,Alameda,01612426150932,East Bay Home School,31367 SantaFe Way,Union City,CA,94587,,,,,415-602-7949,valerierene2010@gmail.com,,New Haven Unified,Mrs.,Valerie,Jaeger,Administrator,valerierene2010@gmail.com,Coeducational,Day Only,K,5,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,6,No,0,1,0,0,0,No,No,No,No,No,Non-religious,,Mrs.,Valerie,Jaeger,Director,valerierene2010@gmail.com,Mrs.,Valerie,Jaeger,valerierene2010@gmail.com
32,-13613197.0295776,4558858.89430797,32,streets,M,100,A,"1009 HEINZ AVE, Berkeley, CA, 94710",,Address,L,1009 Heinz Avenue,Berkeley,CA,94710,211128,Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,,Berkeley,CA,94710,510-549-3867,hosofficec@eb.org,mlazar@eb.org,Berkeley Unified,Mrs.,Dominique,VELOCITER,Head of School,dvelociter@eb.org,Coeducational,Day Only,K,8,49,44,55,59,38,55,42,33,39,0,0,0,0,0,0,414,No,0,36,8,7,35,No,Yes,No,No,Yes,Non-religious,,Ms.,Emma,GIMON,President,emma@gimon.org,Mr.,Thierry,DURANDARD,tdurandard@eb.org
33,-13555128.9018031,4534435.9561853,33,parcels,M,100,A,"2247 2ND ST, LIVERMORE, CA 94550",0,Address,,2247 2nd Street,Livermore,CA,94550,194707,Alameda,01612006151682,Elite Self-Defense Academy,2247 2nd Street,Livermore,CA,94550,,,,,925-449-5715,dreamusa1@gmail.com,,Livermore Valley Joint Unified,Mr.,John,Pfund,Administrator,dreamusa1@gmail.com,Coeducational,Day Only,K,8,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,11,No,0,1,1,1,2,No,No,No,No,No,Non-religious,,Mr.,john,pfund,Administrator,dreamusa1@gmail.com,Mr.,JOHN,pfund,dreamusa1@gmail.com
34,-13609631.512485,4558382.30913056,34,streets,M,100,A,"410 ALCATRAZ AVE, Oakland, CA, 94609",,Address,L,410 Alcatraz Avenue,Oakland,CA,94609,194785,Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,,,,,510-653-3324,jfulk@ebinternacional.org,,Oakland Unified,Ms.,Pat,Takahashi,Director,ptakahashi@ebinternacional.org,Coeducational,Day Only,K,8,47,46,43,35,29,33,23,24,25,0,0,0,0,0,0,305,No,0,47,21,16,9,No,Yes,No,No,Yes,Non-religious,,Mr.,Jon,Fulk,Head of School,jfulk@ebinternacional.org,Ms.,Ana,Hoover,ahoover@ebinternacional.org
35,-13572742.0379477,4537341.78432858,35,parcels,M,100,A,"6670 AMADOR PLAZA RD, DUBLIN, CA 94568",0,Address,,6670 Amador Plaza Road,Dublin,CA,94568,191613,Alameda,01750936995641,Fountainhead Montessori School,6670 Amador Plaza Road,Dublin,CA,94568,"6665 Amador Plaza Road, Suite 200",Dublin,CA,94568,925-820-1343,info@fms.org,shandy@fms.org,Dublin Unified,Ms.,Shandy,Cole,Director,shandy@fms.org,Coeducational,Day Only,K,3,30,8,4,0,0,0,0,0,0,0,0,0,0,0,0,42,No,0,4,4,1,0,No,Yes,No,No,Yes,Non-religious,,Ms.,Ais,Her,Head of School,ais@fms.org,Ms.,Shandy,Cole,shandy@fms.org
36,-13603872.6004511,4551262.04094235,36,parcels,M,100,A,"3800 COOLIDGE AVE, OAKLAND, CA 94602",0,Address,,3800 Coolidge Avenue,Oakland,CA,94602,197120,Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,,,,94602,510-482-2244,marsmith@fredfinch.org,traceytashiro@fredfinch.org,Oakland Unified,Ms.,Mar,Smith,Administrator,marsmith@fredfinch.org,Coeducational,Both,6,12,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,9,Yes,0,2,0,2,7,Yes,Yes,No,No,Yes,Non-religious,,Ms.,Tracey,Tashiro,Principal,traceytashiro@fredfinch.org,Ms.,Antonechia,Smith,antonechiasmith@fredfinch.org
